sample,point,target_x,target_y,target_z,rtt_ms,success,err_norm,joints_j1,joints_j2,joints_j3,joints_j4,joints_j5,joints_j6
232,A,475.0,0.0,635.0,1.3290999995660968,,,0.0,0.0,0.0,0.0,0.0,0.0
233,B,475.0,0.0,635.0,1.2917000003653811,,,0.0,0.0,0.0,0.0,0.0,0.0
234,A,475.0,0.0,635.0,2.2175999993123696,,,0.0,0.0,0.0,0.0,0.0,0.0
235,B,475.0,0.0,635.0,1.4012000001457636,,,0.0,0.0,0.0,0.0,0.0,0.0
236,A,475.0,0.0,635.0,1.2397000000419212,,,0.0,0.0,0.0,0.0,0.0,0.0
237,B,475.0,0.0,635.0,1.3663999998243526,,,0.0,0.0,0.0,0.0,0.0,0.0
238,A,475.0,0.0,635.0,1.637099999243219,,,0.0,0.0,0.0,0.0,0.0,0.0
239,B,475.0,0.0,635.0,1.302199999372533,,,0.0,0.0,0.0,0.0,0.0,0.0
240,A,475.0,0.0,635.0,1.2064000002283137,,,0.0,0.0,0.0,0.0,0.0,0.0
241,B,475.0,0.0,635.0,1.8114000004061381,,,0.0,0.0,0.0,0.0,0.0,0.0
242,A,475.0,0.0,635.0,1.8475000006219489,,,0.0,0.0,0.0,0.0,0.0,0.0
243,B,475.0,0.0,635.0,1.3687999999092426,,,0.0,0.0,0.0,0.0,0.0,0.0
244,A,475.0,0.0,635.0,1.3200000003052992,,,0.0,0.0,0.0,0.0,0.0,0.0
245,B,475.0,0.0,635.0,1.5639000002920511,,,0.0,0.0,0.0,0.0,0.0,0.0
246,A,475.0,0.0,635.0,1.426799999535433,,,0.0,0.0,0.0,0.0,0.0,0.0
247,B,475.0,0.0,635.0,1.277999999729218,,,0.0,0.0,0.0,0.0,0.0,0.0
248,A,475.0,0.0,635.0,1.5654999997423147,,,0.0,0.0,0.0,0.0,0.0,0.0
249,B,475.0,0.0,635.0,1.573600000483566,,,0.0,0.0,0.0,0.0,0.0,0.0
250,A,475.0,0.0,635.0,1.3466000000335043,,,0.0,0.0,0.0,0.0,0.0,0.0
251,B,475.0,0.0,635.0,1.2540000006993068,,,0.0,0.0,0.0,0.0,0.0,0.0
252,A,475.0,0.0,635.0,1.303800000641786,,,0.0,0.0,0.0,0.0,0.0,0.0
253,B,475.0,0.0,635.0,1.4277000000220141,,,0.0,0.0,0.0,0.0,0.0,0.0
254,A,475.0,0.0,635.0,1.305099999626691,,,0.0,0.0,0.0,0.0,0.0,0.0
255,B,475.0,0.0,635.0,1.2790000000677537,,,0.0,0.0,0.0,0.0,0.0,0.0
256,A,475.0,0.0,635.0,1.7338999996354687,,,0.0,0.0,0.0,0.0,0.0,0.0
257,B,475.0,0.0,635.0,1.4289999999164138,,,0.0,0.0,0.0,0.0,0.0,0.0
258,A,475.0,0.0,635.0,1.2721000002784422,,,0.0,0.0,0.0,0.0,0.0,0.0
259,B,475.0,0.0,635.0,1.2642000001505949,,,0.0,0.0,0.0,0.0,0.0,0.0
260,A,475.0,0.0,635.0,1.4574999995602411,,,0.0,0.0,0.0,0.0,0.0,0.0
